binned_latitude,binned_longitude,hour,type,subtype,count
41.88,-87.65,22:00,Jam,Stand-Still Traffic,760
41.88,-87.65,21:00,Jam,Stand-Still Traffic,740
41.9,-87.66,21:00,Jam,Stand-Still Traffic,612
41.9,-87.66,22:00,Jam,Stand-Still Traffic,579
41.89,-87.65,22:00,Jam,Stand-Still Traffic,574
41.88,-87.65,20:00,Jam,Stand-Still Traffic,567
41.89,-87.65,21:00,Jam,Stand-Still Traffic,564
41.88,-87.65,21:00,Jam,Heavy Traffic,533
41.88,-87.65,22:00,Jam,Heavy Traffic,531
41.88,-87.65,20:00,Jam,Heavy Traffic,518
41.9,-87.66,20:00,Jam,Heavy Traffic,504
41.9,-87.66,21:00,Jam,Heavy Traffic,496
41.89,-87.65,20:00,Jam,Stand-Still Traffic,489
41.88,-87.65,23:00,Jam,Stand-Still Traffic,470
41.96,-87.75,20:00,Road Closed,Event,466
41.96,-87.75,21:00,Road Closed,Event,458
41.96,-87.75,16:00,Road Closed,Event,447
41.96,-87.75,17:00,Road Closed,Event,445
41.88,-87.65,19:00,Jam,Heavy Traffic,443
41.9,-87.66,22:00,Jam,Heavy Traffic,441
41.96,-87.75,05:00,Road Closed,Event,440
41.89,-87.64,22:00,Jam,Stand-Still Traffic,439
41.96,-87.75,04:00,Road Closed,Event,438
41.96,-87.75,08:00,Road Closed,Event,438
41.89,-87.65,20:00,Jam,Heavy Traffic,437
41.96,-87.75,13:00,Road Closed,Event,436
41.88,-87.65,19:00,Jam,Stand-Still Traffic,436
41.96,-87.75,09:00,Road Closed,Event,436
41.96,-87.75,00:00,Road Closed,Event,436
41.9,-87.66,20:00,Jam,Stand-Still Traffic,433
41.96,-87.75,12:00,Road Closed,Event,430
41.96,-87.75,01:00,Road Closed,Event,428
41.89,-87.65,19:00,Jam,Heavy Traffic,406
41.89,-87.65,19:00,Jam,Stand-Still Traffic,399
41.96,-87.75,19:00,Road Closed,Event,399
41.9,-87.66,19:00,Jam,Heavy Traffic,395
41.96,-87.75,18:00,Road Closed,Event,395
41.89,-87.65,22:00,Jam,Heavy Traffic,394
41.96,-87.75,14:00,Road Closed,Event,390
41.96,-87.75,15:00,Road Closed,Event,386
41.96,-87.75,06:00,Road Closed,Event,385
41.89,-87.65,23:00,Jam,Stand-Still Traffic,382
41.96,-87.75,22:00,Road Closed,Event,382
41.96,-87.75,03:00,Road Closed,Event,382
41.96,-87.75,10:00,Road Closed,Event,381
41.96,-87.75,02:00,Road Closed,Event,380
41.96,-87.75,23:00,Road Closed,Event,378
41.96,-87.75,07:00,Road Closed,Event,376
41.96,-87.75,11:00,Road Closed,Event,375
41.88,-87.65,23:00,Jam,Heavy Traffic,369
41.89,-87.65,21:00,Jam,Heavy Traffic,364
41.94,-87.71,13:00,Jam,Stand-Still Traffic,363
41.93,-87.7,21:00,Jam,Heavy Traffic,361
41.89,-87.65,18:00,Jam,Stand-Still Traffic,328
41.9,-87.66,23:00,Jam,Stand-Still Traffic,326
41.89,-87.65,17:00,Jam,Heavy Traffic,318
41.9,-87.62,22:00,Jam,Stand-Still Traffic,313
41.89,-87.64,21:00,Jam,Stand-Still Traffic,313
41.88,-87.65,18:00,Jam,Stand-Still Traffic,312
41.95,-87.73,13:00,Jam,Stand-Still Traffic,311
41.89,-87.65,18:00,Jam,Heavy Traffic,311
41.96,-87.74,20:00,Jam,Heavy Traffic,308
41.9,-87.66,23:00,Jam,Heavy Traffic,308
41.96,-87.74,13:00,Jam,Stand-Still Traffic,303
41.92,-87.67,21:00,Jam,Heavy Traffic,297
41.96,-87.74,21:00,Jam,Heavy Traffic,296
41.93,-87.7,13:00,Jam,Heavy Traffic,292
41.98,-87.75,22:00,Jam,Stand-Still Traffic,287
41.89,-87.66,22:00,Jam,Stand-Still Traffic,282
41.89,-87.65,23:00,Jam,Heavy Traffic,281
41.94,-87.7,21:00,Jam,Heavy Traffic,280
41.92,-87.67,22:00,Jam,Heavy Traffic,279
41.99,-87.66,12:00,Jam,Stand-Still Traffic,275
41.85,-87.64,21:00,Jam,Heavy Traffic,272
41.92,-87.66,22:00,Jam,Stand-Still Traffic,269
41.89,-87.65,00:00,Jam,Heavy Traffic,265
41.92,-87.67,22:00,Jam,Stand-Still Traffic,264
41.96,-87.74,19:00,Jam,Heavy Traffic,262
41.93,-87.69,21:00,Jam,Heavy Traffic,262
41.88,-87.64,22:00,Jam,Stand-Still Traffic,258
41.85,-87.64,20:00,Jam,Heavy Traffic,258
41.97,-87.75,21:00,Hazard,Weather,258
41.84,-87.63,15:00,Hazard,Weather,258
41.96,-87.74,12:00,Jam,Stand-Still Traffic,258
41.98,-87.75,21:00,Jam,Stand-Still Traffic,255
41.92,-87.67,21:00,Jam,Stand-Still Traffic,255
41.88,-87.65,18:00,Jam,Heavy Traffic,253
41.95,-87.72,12:00,Jam,Heavy Traffic,252
41.89,-87.65,16:00,Jam,Heavy Traffic,251
41.79,-87.63,22:00,Hazard,Weather,251
41.9,-87.66,18:00,Jam,Heavy Traffic,250
41.9,-87.65,21:00,Jam,Stand-Still Traffic,250
41.92,-87.67,20:00,Jam,Heavy Traffic,249
41.84,-87.63,16:00,Road Closed,Event,249
41.89,-87.65,17:00,Jam,Stand-Still Traffic,249
41.9,-87.66,00:00,Jam,Heavy Traffic,248
41.96,-87.74,12:00,Jam,Heavy Traffic,248
41.94,-87.71,21:00,Jam,Heavy Traffic,247
41.9,-87.66,19:00,Jam,Stand-Still Traffic,247
41.98,-87.75,20:00,Jam,Stand-Still Traffic,247
41.95,-87.73,12:00,Jam,Stand-Still Traffic,246
41.88,-87.65,17:00,Jam,Stand-Still Traffic,245
41.93,-87.69,20:00,Jam,Heavy Traffic,245
41.82,-87.63,20:00,Hazard,Weather,241
41.82,-87.63,21:00,Hazard,Weather,240
41.89,-87.66,21:00,Jam,Stand-Still Traffic,240
41.94,-87.71,13:00,Jam,Heavy Traffic,240
41.92,-87.66,21:00,Jam,Stand-Still Traffic,239
41.88,-87.65,20:00,Hazard,Weather,238
41.79,-87.63,21:00,Hazard,Weather,237
41.99,-87.66,19:00,Jam,Heavy Traffic,237
41.9,-87.62,21:00,Jam,Stand-Still Traffic,237
41.69,-87.6,20:00,Road Closed,Event,236
41.97,-87.75,12:00,Jam,Heavy Traffic,236
41.82,-87.63,22:00,Hazard,Weather,235
41.88,-87.62,19:00,Hazard,On Road,234
41.98,-87.75,23:00,Jam,Stand-Still Traffic,234
41.79,-87.63,20:00,Hazard,Weather,234
41.98,-87.75,22:00,Jam,Heavy Traffic,233
41.84,-87.63,21:00,Hazard,Weather,233
41.9,-87.66,17:00,Jam,Heavy Traffic,233
41.88,-87.65,01:00,Road Closed,Event,232
41.88,-87.65,17:00,Road Closed,Event,232
41.88,-87.65,20:00,Road Closed,Event,231
41.89,-87.65,20:00,Road Closed,Event,230
41.85,-87.64,19:00,Jam,Heavy Traffic,230
41.69,-87.6,21:00,Road Closed,Event,229
41.71,-87.64,20:00,Road Closed,Event,229
41.97,-87.75,13:00,Jam,Stand-Still Traffic,229
41.84,-87.63,19:00,Hazard,Weather,229
41.88,-87.65,21:00,Hazard,Weather,228
41.88,-87.65,21:00,Road Closed,Event,227
41.96,-87.74,22:00,Jam,Heavy Traffic,227
41.97,-87.75,20:00,Road Closed,Event,227
41.71,-87.64,21:00,Road Closed,Event,227
41.88,-87.65,04:00,Road Closed,Event,227
41.97,-87.75,12:00,Jam,Stand-Still Traffic,227
41.89,-87.65,21:00,Road Closed,Event,226
41.84,-87.63,21:00,Road Closed,Event,226
41.88,-87.65,05:00,Road Closed,Event,226
41.94,-87.71,12:00,Jam,Heavy Traffic,225
41.88,-87.65,22:00,Hazard,Weather,225
41.95,-87.72,13:00,Jam,Stand-Still Traffic,224
41.91,-87.66,20:00,Jam,Heavy Traffic,224
41.94,-87.71,12:00,Jam,Stand-Still Traffic,224
41.89,-87.65,04:00,Road Closed,Event,224
41.84,-87.63,20:00,Road Closed,Event,224
41.96,-87.74,13:00,Jam,Heavy Traffic,223
41.97,-87.75,21:00,Road Closed,Event,223
41.69,-87.6,16:00,Road Closed,Event,223
41.89,-87.65,16:00,Road Closed,Event,222
41.69,-87.6,17:00,Road Closed,Event,222
41.84,-87.63,20:00,Hazard,Weather,222
41.71,-87.64,16:00,Road Closed,Event,222
41.88,-87.65,16:00,Road Closed,Event,222
41.84,-87.63,19:00,Road Closed,Event,222
41.97,-87.76,19:00,Jam,Heavy Traffic,221
41.84,-87.63,18:00,Hazard,Weather,221
41.71,-87.64,17:00,Road Closed,Event,221
41.84,-87.63,14:00,Hazard,Weather,221
41.97,-87.76,22:00,Jam,Heavy Traffic,221
41.97,-87.75,16:00,Road Closed,Event,221
41.89,-87.65,05:00,Road Closed,Event,221
41.71,-87.64,04:00,Road Closed,Event,220
41.71,-87.64,05:00,Road Closed,Event,220
41.69,-87.6,13:00,Road Closed,Event,220
41.88,-87.65,17:00,Jam,Heavy Traffic,220
41.84,-87.63,05:00,Road Closed,Event,220
41.89,-87.65,08:00,Road Closed,Event,220
41.97,-87.75,05:00,Road Closed,Event,220
41.69,-87.6,05:00,Road Closed,Event,220
41.82,-87.63,13:00,Hazard,Weather,220
41.89,-87.65,17:00,Road Closed,Event,220
41.89,-87.65,21:00,Hazard,Weather,220
41.88,-87.65,08:00,Road Closed,Event,219
41.71,-87.64,08:00,Road Closed,Event,219
41.88,-87.65,00:00,Road Closed,Event,219
41.69,-87.6,04:00,Road Closed,Event,219
41.84,-87.63,04:00,Road Closed,Event,219
41.97,-87.75,17:00,Road Closed,Event,219
41.84,-87.63,08:00,Road Closed,Event,219
41.97,-87.75,04:00,Road Closed,Event,219
41.97,-87.75,08:00,Road Closed,Event,219
41.89,-87.65,13:00,Road Closed,Event,219
41.69,-87.6,08:00,Road Closed,Event,219
41.71,-87.64,13:00,Road Closed,Event,218
41.99,-87.66,12:00,Jam,Heavy Traffic,218
41.84,-87.63,09:00,Road Closed,Event,218
41.97,-87.75,09:00,Road Closed,Event,218
41.84,-87.63,22:00,Hazard,Weather,218
41.69,-87.6,00:00,Road Closed,Event,218
41.69,-87.6,09:00,Road Closed,Event,218
41.71,-87.64,09:00,Road Closed,Event,218
41.97,-87.75,00:00,Road Closed,Event,218
41.89,-87.65,00:00,Road Closed,Event,218
41.88,-87.65,09:00,Road Closed,Event,218
41.84,-87.63,17:00,Road Closed,Event,218
41.89,-87.65,09:00,Road Closed,Event,218
41.84,-87.63,13:00,Road Closed,Event,217
41.89,-87.65,01:00,Road Closed,Event,217
41.88,-87.65,13:00,Road Closed,Event,217
41.97,-87.75,13:00,Road Closed,Event,217
41.97,-87.76,12:00,Jam,Stand-Still Traffic,216
41.98,-87.78,23:00,Jam,Heavy Traffic,216
41.89,-87.65,12:00,Road Closed,Event,216
41.84,-87.63,00:00,Road Closed,Event,216
41.84,-87.63,17:00,Hazard,Weather,216
41.69,-87.6,12:00,Road Closed,Event,216
41.98,-87.78,17:00,Jam,Heavy Traffic,216
41.71,-87.64,00:00,Road Closed,Event,215
41.94,-87.72,13:00,Jam,Stand-Still Traffic,215
41.71,-87.64,12:00,Road Closed,Event,215
41.97,-87.75,12:00,Road Closed,Event,215
41.84,-87.63,12:00,Road Closed,Event,215
41.94,-87.7,13:00,Jam,Stand-Still Traffic,215
41.88,-87.65,12:00,Road Closed,Event,215
41.89,-87.65,01:00,Jam,Heavy Traffic,215
41.87,-87.64,22:00,Hazard,Weather,215
41.71,-87.64,01:00,Road Closed,Event,214
41.97,-87.75,01:00,Road Closed,Event,214
41.69,-87.6,01:00,Road Closed,Event,214
41.94,-87.7,13:00,Jam,Heavy Traffic,214
